Name,Effect,Duration,Source
Innate Mind Reading,"Magically access the surface thoughts of a creature within 60 ft as long as concentration isn't broken. The spell can penetrate barriers, but 2 feet of rock, 2 inches of any metal other than lead, or a thin sheet of lead obstruct the ability. While reading the mind of a create, gains advantage to Communication checks versus the creature.",,
Spore Follower,"Without the presence of a spore evolved, this creature will behave as a brain dead monster. But under direction will follow orders and use weapons.",,
Spore Carrier,"Carries the spore fungal infection. Creatures injured are infected with the spore disease. Upon death, the fungal growth hardens into a brittle stone like substance.",,
Incorporeal Form,Can move through physical objects and creatures as if they were difficult terrain.,,
Language: Babelish,Can speak and write Babelish.,,
Language: Bright-speak,Can speak and write Bright-speak.,,
Language: Pirish,Can speak and write Pirish.,,
Language - Deep-speak,Can speak and write Deep-speak.,,
Language: Primal,Can speak and write Primal.,,
Language: Kikishi,Can speak and write Kikishi.,,
Language: Draconic,Can speak and write Draconic.,,
Language: Demonic,Can speak and write Demonic.,,
Disabling: None,None,,
Disabling: Missing bodily extremity/limb,STR and RFX dice penaltiesÂ when performing tasks requiring 2 hands.,,
Disabling: Feeble,-1 STR,,
Disabling: Heavy,-1 RFX,,
Disabling: Dim-witted,-1 INT,,
Disabling: Phobia,Debilitating fear of ?.,,
Disabling: Extreme Prejudice,Overwhelming hatred/disgust of ?.,,
Disabling: Compulsive Liar,Compulsion to lie about self-aggrandizing claims/achievements.,,
Disabling: Kleptomaniac,Desire to steal most things regardless of value.,,
Disabling: Betrayal Paranoia,Extreme belief that every person met will betray them.,,
Disabling: Government Paranoia,Extreme belief that the ruling class is run by an evil cult.,,
Disabling: Superstition Paranoia,Extreme belief in common superstition and old wives tales.,,
Disabling: Paranoia,Irrational belief that ...,,
Disabling: Over-emotional (specific emotion),,,
Disabling: Loose Cannon,Overwhelming predisposition towards rage/anger.,,
Disabling: Incontrollable Grief,Overwhelming grief that is triggered reminder of past trauma.,,
Disabling: Very Forgetful,"Often forgets plans, directions, people, items,  names...",,
Disabling: Endurance Overconfidence,"Extremely overconfident in Endurance, cannot invest in.",,
Disabling: Overconfidence,"Extremely overconfident in , cannot invest in.",,
Disabling: Athletics Overconfidence,"Extremely overconfident in Athletics, cannot invest in.",,
Disabling: Climb Overconfidence,"Extremely overconfident in Climb, cannot invest in.",,
Disabling: Swim Overconfidence,"Extremely overconfident in Swim, cannot invest in.",,
Disabling: Lift Overconfidence,"Extremely overconfident in Lift, cannot invest in.",,
Disabling: Perception Overconfidence,"Extremely overconfident in Perception, cannot invest in.",,
Disabling: Acrobatics Overconfidence,"Extremely overconfident in Acrobatics, cannot invest in.",,
Disabling: Ride/Pilot Overconfidence,"Extremely overconfident in Ride/Pilot, cannot invest in.",,
Disabling: Sleight of Hand Overconfidence,"Extremely overconfident in Sleight of Hand, cannot invest in.",,
Disabling: Stealth Overconfidence,"Extremely overconfident in Stealth, cannot invest in.",,
Disabling: Knowledge Overconfidence,"Extremely overconfident in Gen. Knowledge, cannot invest in.",,
Disabling: Willpower Overconfidence,"Extremely overconfident in Willpower, cannot invest in.",,
Disabling: Communication Overconfidence,"Extremely overconfident in Communication, cannot invest in.",,
Disabling: Spiritual Overconfidence,"Extremely overconfident in Spiritual, cannot invest in.",,
Disabling: Survival Overconfidence,"Extremely overconfident in Survival, cannot invest in.",,
Disabling: Incapable of Lying,"(Specific parameters required, see Cogent website for examples)",,
Disabling: Addiction,"Extreme addiction, suffers from withdrawals if not satisfied.",,
Disabling: Delusion,"Belief of something to be real beyond the scope of simple faith. ",,
Disabling: Imperceptive,-3d6 to environmental Perception rolls.,,
Disabling: Blind,Unable to make sight based perception checks.,,
Disabling: Deaf,Unable to make hearing based perception checks.,,
Disabling: Anosmia,Unable to make smell based perception checks.,,
Disabling: Ageusia,Unable to make taste based perception checks.,,
Disabling: Anaphia,Unable to make touch based perception checks.,,
Disabling: Gullible,-3d6 to Perception rolls versus deceptive communication rolls.,,
Disabling: Impressionable,-3d6 to Perception rolls versus persuasive communication rolls.,,
Disabling: People Pleaser,"Always try to make other people happy, even at their own expense.",,
Disabling: SKILL Overconfidence,"Extremely overconfident in SKILL, cannot invest in.",,
Disabling: Blindness,Character has none/limited vision.,,
Disabling: Illiterate,Can't read or write.,,
Tiny Size,2.5x2.5 ft on battle map.,,
Small Size,5x5 ft on battle map.,,
Medium Size,5x5 ft on battle map.,,
Large Size,10x10 ft on battle map.,,
Huge Size,15x15 ft on battle map.,,
Gargantuan Size,20x20 ft on battle map.,,
Disabling: Overly Nostalgic,Constantly reminiscing about the good old day.,,
Complete Non-Magical/Non-Silvered Resistance,-5 to victory levels received from Non-Magical/Non-Silvered  damage.,,
Minor Hew Weakness,(+1) to the level of injury received from Hew damage.,,
Medium Hew Weakness,(+2) to the level of injury received from Hew damage.,,
Major Hew Weakness,(+3) to the level of injury received from Hew damage.,,
Extreme Hew Weakness,(+4) to the level of injury received from Hew damage.,,
Mortal Hew Weakness,(+5) to the level of injury received from Hew damage.,,
Minor Hew Resistance,-1 to victory levels received from Hew damage.,,
Medium Hew Resistance,-2 to victory levels received from Hew damage.,,
Major Hew Resistance,-3 to victory levels received from Hew damage.,,
Extreme Hew Resistance,-4 to victory levels received from Hew damage.,,
Complete Hew Resistance,-5 to victory levels received from Hew damage.,,
Minor Slash Weakness,(+1) to the level of injury received from Slash damage.,,
Medium Slash Weakness,(+2) to the level of injury received from Slash damage.,,
Major Slash Weakness,(+3) to the level of injury received from Slash damage.,,
Extreme Slash Weakness,(+4) to the level of injury received from Slash damage.,,
Mortal Slash Weakness,(+5) to the level of injury received from Slash damage.,,
Minor Slash Resistance,-1 to victory levels received from Slash damage.,,
Medium Slash Resistance,-2 to victory levels received from Slash damage.,,
Major Slash Resistance,-3 to victory levels received from Slash damage.,,
Extreme Slash Resistance,-4 to victory levels received from Slash damage.,,
Complete Slash Resistance,-5 to victory levels received from Slash damage.,,
Minor Pierce Weakness,(+1) to the level of injury received from Pierce damage.,,
Medium Pierce Weakness,(+2) to the level of injury received from Pierce damage.,,
Major Pierce Weakness,(+3) to the level of injury received from Pierce damage.,,
Extreme Pierce Weakness,(+4) to the level of injury received from Pierce damage.,,
Mortal Pierce Weakness,(+5) to the level of injury received from Pierce damage.,,
Minor Pierce Resistance,-1 to victory levels received from Pierce damage.,,
Medium Pierce Resistance,-2 to victory levels received from Pierce damage.,,
Major Pierce Resistance,-3 to victory levels received from Pierce damage.,,
Extreme Pierce Resistance,-4 to victory levels received from Pierce damage.,,
Complete Pierce Resistance,-5 to victory levels received from Pierce damage.,,
Minor Bludgeon Weakness,(+1) to the level of injury received from Bludgeon damage.,,
Medium Bludgeon Weakness,(+2) to the level of injury received from Bludgeon damage.,,
Major Bludgeon Weakness,(+3) to the level of injury received from Bludgeon damage.,,
Extreme Bludgeon Weakness,(+4) to the level of injury received from Bludgeon damage.,,
Mortal Bludgeon Weakness,(+5) to the level of injury received from Bludgeon damage.,,
Minor Bludgeon Resistance,-1 to victory levels received from Bludgeon damage.,,
Medium Bludgeon Resistance,-2 to victory levels received from Bludgeon damage.,,
Major Bludgeon Resistance,-3 to victory levels received from Bludgeon damage.,,
Extreme Bludgeon Resistance,-4 to victory levels received from Bludgeon damage.,,
Complete Bludgeon Resistance,-5 to victory levels received from Bludgeon damage.,,
Minor Shockwave Weakness,(+1) to the level of injury received from Shockwave damage.,,
Medium Shockwave Weakness,(+2) to the level of injury received from Shockwave damage.,,
Major Shockwave Weakness,(+3) to the level of injury received from Shockwave damage.,,
Extreme Shockwave Weakness,(+4) to the level of injury received from Shockwave damage.,,
Mortal Shockwave Weakness,(+5) to the level of injury received from Shockwave damage.,,
Minor Shockwave Resistance,-1 to victory levels received from Shockwave damage.,,
Medium Shockwave Resistance,-2 to victory levels received from Shockwave damage.,,
Major Shockwave Resistance,-3 to victory levels received from Shockwave damage.,,
Extreme Shockwave Resistance,-4 to victory levels received from Shockwave damage.,,
Complete Shockwave Resistance,-5 to victory levels received from Shockwave damage.,,
Minor Fire Weakness,(+1) to the level of injury received from Fire damage.,,
Medium Fire Weakness,(+2) to the level of injury received from Fire damage.,,
Major Fire Weakness,(+3) to the level of injury received from Fire damage.,,
Extreme Fire Weakness,(+4) to the level of injury received from Fire damage.,,
Mortal Fire Weakness,(+5) to the level of injury received from Fire damage.,,
Minor Fire Resistance,-1 to victory levels received from Fire damage.,,
Medium Fire Resistance,-2 to victory levels received from Fire damage.,,
Major Fire Resistance,-3 to victory levels received from Fire damage.,,
Extreme Fire Resistance,-4 to victory levels received from Fire damage.,,
Complete Fire Resistance,-5 to victory levels received from Fire damage.,,
Minor Water Weakness,(+1) to the level of injury received from Water damage.,,
Medium Water Weakness,(+2) to the level of injury received from Water damage.,,
Major Water Weakness,(+3) to the level of injury received from Water damage.,,
Extreme Water Weakness,(+4) to the level of injury received from Water damage.,,
Mortal Water Weakness,(+5) to the level of injury received from Water damage.,,
Minor Water Resistance,-1 to victory levels received from Water damage.,,
Medium Water Resistance,-2 to victory levels received from Water damage.,,
Major Water Resistance,-3 to victory levels received from Water damage.,,
Extreme Water Resistance,-4 to victory levels received from Water damage.,,
Complete Water Resistance,-5 to victory levels received from Water damage.,,
Minor Electric Weakness,(+1) to the level of injury received from Electric damage.,,
Medium Electric Weakness,(+2) to the level of injury received from Electric damage.,,
Major Electric Weakness,(+3) to the level of injury received from Electric damage.,,
Extreme Electric Weakness,(+4) to the level of injury received from Electric damage.,,
Mortal Electric Weakness,(+5) to the level of injury received from Electric damage.,,
Minor Electric Resistance,-1 to victory levels received from Electric damage.,,
Medium Electric Resistance,-2 to victory levels received from Electric damage.,,
Major Electric Resistance,-3 to victory levels received from Electric damage.,,
Extreme Electric Resistance,-4 to victory levels received from Electric damage.,,
Complete Electric Resistance,-5 to victory levels received from Electric damage.,,
Minor Cold Weakness,(+1) to the level of injury received from Cold damage.,,
Medium Cold Weakness,(+2) to the level of injury received from Cold damage.,,
Major Cold Weakness,(+3) to the level of injury received from Cold damage.,,
Extreme Cold Weakness,(+4) to the level of injury received from Cold damage.,,
Mortal Cold Weakness,(+5) to the level of injury received from Cold damage.,,
Minor Cold Resistance,-1 to victory levels received from Cold damage.,,
Medium Cold Resistance,-2 to victory levels received from Cold damage.,,
Major Cold Resistance,-3 to victory levels received from Cold damage.,,
Extreme Cold Resistance,-4 to victory levels received from Cold damage.,,
Complete Cold Resistance,-5 to victory levels received from Cold damage.,,
Minor Radiant Weakness,(+1) to the level of injury received from Radiant damage.,,
Medium Radiant Weakness,(+2) to the level of injury received from Radiant damage.,,
Major Radiant Weakness,(+3) to the level of injury received from Radiant damage.,,
Extreme Radiant Weakness,(+4) to the level of injury received from Radiant damage.,,
Mortal Radiant Weakness,(+5) to the level of injury received from Radiant damage.,,
Minor Radiant Resistance,-1 to victory levels received from Radiant damage.,,
Medium Radiant Resistance,-2 to victory levels received from Radiant damage.,,
Major Radiant Resistance,-3 to victory levels received from Radiant damage.,,
Extreme Radiant Resistance,-4 to victory levels received from Radiant damage.,,
Complete Radiant Resistance,-5 to victory levels received from Radiant damage.,,
Minor Silver Weakness,(+1) to the level of injury received from Silver damage.,,
Medium Silver Weakness,(+2) to the level of injury received from Silver damage.,,
Major Silver Weakness,(+3) to the level of injury received from Silver damage.,,
Extreme Silver Weakness,(+4) to the level of injury received from Silver damage.,,
Mortal Silver Weakness,(+5) to the level of injury received from Silver damage.,,
Minor Silver Resistance,-1 to victory levels received from Silver damage.,,
Medium Silver Resistance,-2 to victory levels received from Silver damage.,,
Major Silver Resistance,-3 to victory levels received from Silver damage.,,
Extreme Silver Resistance,-4 to victory levels received from Silver damage.,,
Complete Silver Resistance,-5 to victory levels received from Silver damage.,,
Minor Poison Weakness,(+1) to the level of injury received from Poison damage.,,
Medium Poison Weakness,(+2) to the level of injury received from Poison damage.,,
Major Poison Weakness,(+3) to the level of injury received from Poison damage.,,
Extreme Poison Weakness,(+4) to the level of injury received from Poison damage.,,
Mortal Poison Weakness,(+5) to the level of injury received from Poison damage.,,
Minor Poison Resistance,-1 to victory levels received from Poison damage.,,
Medium Poison Resistance,-2 to victory levels received from Poison damage.,,
Major Poison Resistance,-3 to victory levels received from Poison damage.,,
Extreme Poison Resistance,-4 to victory levels received from Poison damage.,,
Complete Poison Resistance,-5 to victory levels received from Poison damage.,,
Minor Necrotic Weakness,(+1) to the level of injury received from Necrotic damage.,,
Medium Necrotic Weakness,(+2) to the level of injury received from Necrotic damage.,,
Major Necrotic Weakness,(+3) to the level of injury received from Necrotic damage.,,
Extreme Necrotic Weakness,(+4) to the level of injury received from Necrotic damage.,,
Mortal Necrotic Weakness,(+5) to the level of injury received from Necrotic damage.,,
Minor Necrotic Resistance,-1 to victory levels received from Necrotic damage.,,
Medium Necrotic Resistance,-2 to victory levels received from Necrotic damage.,,
Major Necrotic Resistance,-3 to victory levels received from Necrotic damage.,,
Extreme Necrotic Resistance,-4 to victory levels received from Necrotic damage.,,
Complete Necrotic Resistance,-5 to victory levels received from Necrotic damage.,,
Minor Bleed Weakness,(+1) to the level of injury received from Bleed damage.,,
Medium Bleed Weakness,(+2) to the level of injury received from Bleed damage.,,
Major Bleed Weakness,(+3) to the level of injury received from Bleed damage.,,
Extreme Bleed Weakness,(+4) to the level of injury received from Bleed damage.,,
Mortal Bleed Weakness,(+5) to the level of injury received from Bleed damage.,,
Minor Bleed Resistance,-1 to victory levels received from Bleed damage.,,
Medium Bleed Resistance,-2 to victory levels received from Bleed damage.,,
Major Bleed Resistance,-3 to victory levels received from Bleed damage.,,
Extreme Bleed Resistance,-4 to victory levels received from Bleed damage.,,
Complete Bleed Resistance,-5 to victory levels received from Bleed damage.,,
Minor Psychic Weakness,(+1) to the level of injury received from Psychic damage.,,
Medium Psychic Weakness,(+2) to the level of injury received from Psychic damage.,,
Major Psychic Weakness,(+3) to the level of injury received from Psychic damage.,,
Extreme Psychic Weakness,(+4) to the level of injury received from Psychic damage.,,
Mortal Psychic Weakness,(+5) to the level of injury received from Psychic damage.,,
Minor Psychic Resistance,-1 to victory levels received from Psychic damage.,,
Medium Psychic Resistance,-2 to victory levels received from Psychic damage.,,
Major Psychic Resistance,-3 to victory levels received from Psychic damage.,,
Extreme Psychic Resistance,-4 to victory levels received from Psychic damage.,,
Complete Psychic Resistance,-5 to victory levels received from Psychic damage.,,
Minor Spiritual Weakness,(+1) to the level of injury received from Spiritual damage.,,
Medium Spiritual Weakness,(+2) to the level of injury received from Spiritual damage.,,
Major Spiritual Weakness,(+3) to the level of injury received from Spiritual damage.,,
Extreme Spiritual Weakness,(+4) to the level of injury received from Spiritual damage.,,
Mortal Spiritual Weakness,(+5) to the level of injury received from Spiritual damage.,,
Minor Spiritual Resistance,-1 to victory levels received from Spiritual damage.,,
Medium Spiritual Resistance,-2 to victory levels received from Spiritual damage.,,
Major Spiritual Resistance,-3 to victory levels received from Spiritual damage.,,
Extreme Spiritual Resistance,-4 to victory levels received from Spiritual damage.,,
Complete Spiritual Resistance,-5 to victory levels received from Spiritual damage.,,
Glow,Provides 20 ft radius bright light and 40 ft radius dim light.,,
Minor Healing Factor,"Minor injuries heal in 1 day, others are downgraded in following days if maintained.",,
Dark Vision,"Within 60 feet, sees dim light as if it were bright light and darkness as if it were dim light, though devoid of color.",,
Enhanced Dark Vision,"Within 120 feet, sees dim light as if it were bright light and darkness as if it were dim light, though devoid of color.",,
Blindsight,"Within 30 ft, the environment can be perceived without the need for sight.",,